support,itemsets,length
0.12592748883496852,"frozenset({'D_Wednesday', 'P_No'})",2
0.12598023701515632,"frozenset({'R_Weekday', 'D_Wednesday'})",2
0.4316207757499033,"frozenset({'F_Multiple', 'G_No'})",2
0.16028413686394485,"frozenset({'F_Multiple', 'H_-9'})",2
0.2574462847698421,"frozenset({'H_No', 'F_Multiple'})",2
0.36489432781235714,"frozenset({'F_Multiple', 'I_No'})",2
0.16376551675633857,"frozenset({'J_100', 'F_Multiple'})",2
0.10737771213559799,"frozenset({'F_Multiple', 'J_60'})",2
0.21387628793473293,"frozenset({'F_Multiple', 'K_Driver'})",2
0.10771178394345395,"frozenset({'F_Multiple', 'K_Passenger'})",2
0.140028835671836,"frozenset({'F_Multiple', 'L_Female'})",2
0.3033196188064845,"frozenset({'F_Multiple', 'L_Male'})",2
0.35650736716249953,"frozenset({'M_Unknown', 'F_Multiple'})",2
0.35977775433414216,"frozenset({'F_Multiple', 'N_Undetermined'})",2
0.43074163941344024,"frozenset({'F_Multiple', 'O_No'})",2
0.44137918908464324,"frozenset({'F_Multiple', 'P_No'})",2
0.10027429053697648,"frozenset({'Q_26_to_39', 'F_Multiple'})",2
0.12481977705102508,"frozenset({'F_Multiple', 'Q_40_to_64'})",2
0.2867039420473327,"frozenset({'F_Multiple', 'R_Weekday'})",2
0.15706649787249008,"frozenset({'F_Multiple', 'R_Weekend'})",2
0.3028624679115237,"frozenset({'F_Multiple', 'S_Day'})",2
0.14090797200829905,"frozenset({'F_Multiple', 'S_Night'})",2
0.5488799803073461,"frozenset({'G_No', 'F_Single'})",2
0.2011639765094771,"frozenset({'H_-9', 'F_Single'})",2
0.3478390828849738,"frozenset({'H_No', 'F_Single'})",2
0.5344621443893519,"frozenset({'I_No', 'F_Single'})",2
0.17865808629602278,"frozenset({'J_100', 'F_Single'})",2
0.14635861729437002,"frozenset({'F_Single', 'J_60'})",2
0.23766571719942328,"frozenset({'K_Driver', 'F_Single'})",2
0.11942187994514189,"frozenset({'F_Single', 'K_Passenger'})",2
0.13456060765903577,"frozenset({'K_Pedestrian', 'F_Single'})",2
0.14140028835671836,"frozenset({'F_Single', 'L_Female'})",2
0.41465344445616625,"frozenset({'F_Single', 'L_Male'})",2
0.4438583535534691,"frozenset({'M_Unknown', 'F_Single'})",2
0.45141892604705136,"frozenset({'N_Undetermined', 'F_Single'})",2
0.5379083588282871,"frozenset({'O_No', 'F_Single'})",2
