antecedents,consequents,support,confidence,lift
"frozenset({'H_-9', 'R_Weekday', 'G_No', 'N_Undetermined'})",frozenset({'P_No'}),0.20293983190913248,1.0,1.0059251136383736
"frozenset({'P_No', 'R_Weekday', 'G_No', 'H_-9'})",frozenset({'N_Undetermined'}),0.20293983190913248,1.0,1.2327466620426564
"frozenset({'H_-9', 'R_Weekday', 'G_No'})","frozenset({'P_No', 'M_Unknown'})",0.20293983190913248,1.0,1.2542230847263265
"frozenset({'M_Unknown', 'R_Weekday', 'G_No', 'H_-9'})",frozenset({'P_No'}),0.20293983190913248,1.0,1.0059251136383736
"frozenset({'M_Unknown', 'R_Weekday', 'H_-9'})",frozenset({'N_Undetermined'}),0.20925203080493723,1.0,1.2327466620426564
"frozenset({'M_Unknown', 'I_No', 'G_No', 'A_NSW'})",frozenset({'N_Undetermined'}),0.20984984351373212,1.0,1.2327466620426564
"frozenset({'H_-9', 'R_Weekday', 'N_Undetermined'})",frozenset({'P_No'}),0.20926961353166648,1.0,1.0059251136383736
"frozenset({'O_No', 'I_No', 'H_-9', 'L_Male', 'N_Undetermined'})","frozenset({'P_No', 'M_Unknown'})",0.2189049477793016,1.0,1.2542230847263265
"frozenset({'H_-9', 'G_No', 'O_No'})","frozenset({'P_No', 'M_Unknown'})",0.34126314308823014,1.0,1.2542230847263265
"frozenset({'P_No', 'G_No', 'O_No', 'I_No', 'H_-9', 'L_Male'})",frozenset({'M_Unknown'}),0.21461476245736189,1.0,1.2494288224956063
"frozenset({'G_No', 'O_No', 'I_No', 'H_-9', 'L_Male'})","frozenset({'P_No', 'N_Undetermined'})",0.21461476245736189,1.0,1.2375481428291664
"frozenset({'P_No', 'G_No', 'O_No', 'H_-9'})",frozenset({'N_Undetermined'}),0.34126314308823014,1.0,1.2327466620426564
"frozenset({'P_No', 'O_No', 'M_Unknown', 'A_NSW'})",frozenset({'N_Undetermined'}),0.23754263811231846,1.0,1.2327466620426564
"frozenset({'G_No', 'O_No', 'I_No', 'H_-9', 'L_Male', 'N_Undetermined'})",frozenset({'P_No'}),0.21461476245736189,1.0,1.0059251136383736
"frozenset({'P_No', 'G_No', 'O_No', 'I_No', 'H_-9', 'L_Male'})",frozenset({'N_Undetermined'}),0.21461476245736189,1.0,1.2327466620426564
"frozenset({'M_Unknown', 'O_No', 'A_NSW'})",frozenset({'N_Undetermined'}),0.238386608995323,1.0,1.2327466620426564
"frozenset({'H_-9', 'I_No', 'O_No', 'L_Male'})","frozenset({'P_No', 'M_Unknown', 'N_Undetermined'})",0.2189049477793016,1.0,1.2556630017220825
"frozenset({'O_No', 'M_Unknown', 'I_No', 'H_-9', 'L_Male'})","frozenset({'P_No', 'N_Undetermined'})",0.2189049477793016,1.0,1.2375481428291664
"frozenset({'G_No', 'O_No', 'I_No', 'H_-9', 'L_Male'})","frozenset({'P_No', 'M_Unknown'})",0.21461476245736189,1.0,1.2542230847263265
"frozenset({'H_-9', 'G_No', 'O_No', 'N_Undetermined'})",frozenset({'P_No'}),0.34126314308823014,1.0,1.0059251136383736
"frozenset({'P_No', 'O_No', 'I_No', 'H_-9', 'L_Male'})","frozenset({'M_Unknown', 'N_Undetermined'})",0.2189049477793016,1.0,1.2508577461071522
"frozenset({'O_No', 'M_Unknown', 'I_No', 'H_-9', 'L_Male', 'N_Undetermined'})",frozenset({'P_No'}),0.2189049477793016,1.0,1.0059251136383736
"frozenset({'P_No', 'O_No', 'I_No', 'H_-9', 'L_Male', 'N_Undetermined'})",frozenset({'M_Unknown'}),0.2189049477793016,1.0,1.2494288224956063
"frozenset({'P_No', 'O_No', 'M_Unknown', 'I_No', 'H_-9', 'L_Male'})",frozenset({'N_Undetermined'}),0.2189049477793016,1.0,1.2327466620426564
"frozenset({'G_No', 'O_No', 'I_No', 'H_-9', 'L_Male'})",frozenset({'M_Unknown'}),0.21461476245736189,1.0,1.2494288224956063
"frozenset({'H_-9', 'G_No', 'O_No'})","frozenset({'P_No', 'N_Undetermined'})",0.34126314308823014,1.0,1.2375481428291664
"frozenset({'P_No', 'G_No', 'O_No', 'M_Unknown', 'H_-9'})",frozenset({'N_Undetermined'}),0.34126314308823014,1.0,1.2327466620426564
"frozenset({'P_No', 'G_No', 'M_Unknown', 'A_NSW'})",frozenset({'N_Undetermined'}),0.2384745226289693,1.0,1.2327466620426564
"frozenset({'G_No', 'O_No', 'M_Unknown', 'I_No', 'H_-9', 'L_Male'})",frozenset({'P_No'}),0.21461476245736189,1.0,1.0059251136383736
"frozenset({'M_Unknown', 'G_No', 'O_No', 'H_-9'})",frozenset({'P_No'}),0.34126314308823014,1.0,1.0059251136383736
"frozenset({'H_-9', 'R_Weekday'})",frozenset({'P_No'}),0.20948060625241763,1.0,1.0059251136383736
"frozenset({'G_No', 'O_No', 'M_Unknown', 'I_No', 'H_-9', 'L_Male', 'N_Undetermined'})",frozenset({'P_No'}),0.21461476245736189,1.0,1.0059251136383736
"frozenset({'P_No', 'I_No', 'M_Unknown', 'A_NSW'})",frozenset({'N_Undetermined'}),0.21507191335232267,1.0,1.2327466620426564
