National LGA Name 2021,State,National Remoteness Areas,Location Dimension Index
Broome,WA,Remote Australia,633
Kondinin,WA,Remote Australia,634
Cue,WA,Very Remote Australia,635
Hay,NSW,Outer Regional Australia,636
Wollondilly,NSW,Major Cities of Australia,637
Fraser Coast,Qld,Remote Australia,638
Quairading,WA,Outer Regional Australia,639
Mundaring,WA,Major Cities of Australia,640
Mornington,Qld,Very Remote Australia,641
Wandering,WA,Outer Regional Australia,642
Nannup,WA,Outer Regional Australia,643
Broken Hill,NSW,Outer Regional Australia,644
Ngaanyatjarraku,WA,Very Remote Australia,645
Brisbane,Qld,Inner Regional Australia,646
Corrigin,WA,Remote Australia,647
Anangu Pitjantjatjara Yunkunytjatjara,SA,Very Remote Australia,648
Fremantle,WA,Major Cities of Australia,649
Toodyay,WA,Inner Regional Australia,650
Streaky Bay,SA,Very Remote Australia,651
Southern Grampians,Vic,Inner Regional Australia,652
Victoria Plains,WA,Outer Regional Australia,653
Northampton,WA,Remote Australia,654
Bridgetown-Greenbushes,WA,Outer Regional Australia,655
Kimba,SA,Remote Australia,656
Katanning,WA,Outer Regional Australia,657
Jerramungup,WA,Remote Australia,658
Carnamah,WA,Remote Australia,659
Nambucca,NSW,Inner Regional Australia,660
Ashburton,WA,Very Remote Australia,661
West Arthur,WA,Outer Regional Australia,662
Cootamundra-Gundagai,NSW,Inner Regional Australia,663
Mount Gambier,SA,Outer Regional Australia,664
South Perth,WA,Major Cities of Australia,665
Brookton,WA,Outer Regional Australia,666
Burke,Qld,Very Remote Australia,667
Nedlands,WA,Major Cities of Australia,668
Gingin,WA,Outer Regional Australia,669
Franklin Harbour,SA,Remote Australia,670
Northern Beaches,NSW,Inner Regional Australia,671
Coorong,SA,Inner Regional Australia,672
Waroona,WA,Inner Regional Australia,673
Cunderdin,WA,Outer Regional Australia,674
Greater Geraldton,WA,Remote Australia,675
Lake Grace,WA,Remote Australia,676
Kiama,NSW,Major Cities of Australia,677
Oberon,NSW,Inner Regional Australia,678
Cranbrook,WA,Outer Regional Australia,679
Break O'Day,Tas,Remote Australia,680
Victoria Daly,NT,Remote Australia,681
Chapman Valley,WA,Outer Regional Australia,682
Kingston (SA),SA,Remote Australia,683
Mandurah,WA,Inner Regional Australia,684
Kalamunda,WA,Inner Regional Australia,685
Kellerberrin,WA,Outer Regional Australia,686
Balonne,Qld,Very Remote Australia,687
Murray River,NSW,Remote Australia,688
Wagait,NT,Remote Australia,689
Weipa,Qld,Very Remote Australia,690
Wyndham,Vic,Inner Regional Australia,691
Barossa,SA,Major Cities of Australia,692
Pyrenees,Vic,Outer Regional Australia,693
Pormpuraaw,Qld,Very Remote Australia,694
Wongan-Ballidu,WA,Outer Regional Australia,695
Karratha,WA,Very Remote Australia,696
Bourke,NSW,Very Remote Australia,697
Bathurst Regional,NSW,Outer Regional Australia,698
Redland,Qld,Remote Australia,699
Moora,WA,Outer Regional Australia,700
Upper Hunter,NSW,Inner Regional Australia,701
Melton,Vic,Inner Regional Australia,702
Dungog,NSW,Inner Regional Australia,703
Chittering,WA,Outer Regional Australia,704
Palm Island,Qld,Remote Australia,705
West Daly,NT,Very Remote Australia,706
Mosman Park,WA,Major Cities of Australia,707
Narrogin,WA,Outer Regional Australia,708
Merredin,WA,Remote Australia,709
Unincorporated NT,NT,Very Remote Australia,710
Westonia,WA,Remote Australia,711
Morawa,WA,Remote Australia,712
Claremont,WA,Major Cities of Australia,713
Mingenew,WA,Outer Regional Australia,714
Merredin,WA,Outer Regional Australia,715
Fraser Coast,Qld,Outer Regional Australia,716
Unknown,Qld,Unknown,717
Liverpool,NSW,Inner Regional Australia,718
Boddington,WA,Outer Regional Australia,719
Yorke Peninsula,SA,Remote Australia,720
Goomalling,WA,Outer Regional Australia,721
Subiaco,WA,Major Cities of Australia,722
Trayning,WA,Remote Australia,723
Manjimup,WA,Remote Australia,724
Esperance,WA,Very Remote Australia,725
Franklin Harbour,SA,Outer Regional Australia,726
West Daly,NT,Remote Australia,727
Shark Bay,WA,Very Remote Australia,728
Exmouth,WA,Very Remote Australia,729
Sandstone,WA,Very Remote Australia,730
Unknown,NSW,Unknown,731
Gnowangerup,WA,Outer Regional Australia,732
Boyup Brook,WA,Outer Regional Australia,733
Cottesloe,WA,Major Cities of Australia,734
Wickepin,WA,Remote Australia,735
Leonora,WA,Very Remote Australia,736
Undetermined,Qld,Unknown,737
Undetermined,NSW,Unknown,738
Undetermined,SA,Unknown,739
Undetermined,Tas,Unknown,740
