National LGA Name 2021,State,National Remoteness Areas,Location Dimension Index
Sunshine Coast,Qld,Major Cities of Australia,122
Warrumbungle,NSW,Outer Regional Australia,123
Noosa,Qld,Major Cities of Australia,124
Port Stephens,NSW,Major Cities of Australia,125
Gawler,SA,Major Cities of Australia,126
Alpine,Vic,Inner Regional Australia,127
Cabonne,NSW,Inner Regional Australia,128
Baw Baw,Vic,Inner Regional Australia,129
Isaac,Qld,Remote Australia,130
Maranoa,Qld,Remote Australia,131
Southern Grampians,Vic,Outer Regional Australia,132
Cessnock,NSW,Inner Regional Australia,133
Scenic Rim,Qld,Inner Regional Australia,134
Somerset,Qld,Inner Regional Australia,135
Hinchinbrook,Qld,Remote Australia,136
Mackay,Qld,Inner Regional Australia,137
Stonnington,Vic,Major Cities of Australia,138
Playford,SA,Major Cities of Australia,139
Cobar,NSW,Very Remote Australia,140
Ararat,Vic,Outer Regional Australia,141
Adelaide Hills,SA,Inner Regional Australia,142
Bega Valley,NSW,Outer Regional Australia,143
Tea Tree Gully,SA,Major Cities of Australia,144
Kiama,NSW,Inner Regional Australia,145
Moyne,Vic,Outer Regional Australia,146
Wollondilly,NSW,Inner Regional Australia,147
Casey,Vic,Major Cities of Australia,148
Northern Areas,SA,Outer Regional Australia,149
Tablelands,Qld,Outer Regional Australia,150
Sydney,NSW,Major Cities of Australia,151
Murrindindi,Vic,Inner Regional Australia,152
Albury,NSW,Inner Regional Australia,153
Boroondara,Vic,Major Cities of Australia,154
Redland,Qld,Major Cities of Australia,155
Playford,SA,Inner Regional Australia,156
South Gippsland,Vic,Inner Regional Australia,157
Hinchinbrook,Qld,Outer Regional Australia,158
Yarra Ranges,Vic,Inner Regional Australia,159
Surf Coast,Vic,Inner Regional Australia,160
Mount Barker,SA,Inner Regional Australia,161
Cessnock,NSW,Major Cities of Australia,162
Maitland,NSW,Inner Regional Australia,163
Hobart,Tas,Inner Regional Australia,164
Mitcham,SA,Major Cities of Australia,165
Clarence Valley,NSW,Inner Regional Australia,166
Adelaide,SA,Major Cities of Australia,167
Clarence,Tas,Inner Regional Australia,168
Lismore,NSW,Inner Regional Australia,169
Greater Shepparton,Vic,Inner Regional Australia,170
Moreland,Vic,Major Cities of Australia,171
Narrandera,NSW,Outer Regional Australia,172
Huon Valley,Tas,Outer Regional Australia,173
Townsville,Qld,Outer Regional Australia,174
Griffith,NSW,Outer Regional Australia,175
Wodonga,Vic,Inner Regional Australia,176
Darebin,Vic,Major Cities of Australia,177
Ballarat,Vic,Inner Regional Australia,178
Wingecarribee,NSW,Inner Regional Australia,179
Cardinia,Vic,Inner Regional Australia,180
Maroondah,Vic,Major Cities of Australia,181
Tweed,NSW,Major Cities of Australia,182
North Burnett,Qld,Outer Regional Australia,183
Moree Plains,NSW,Remote Australia,184
Mornington Peninsula,Vic,Major Cities of Australia,185
Unley,SA,Major Cities of Australia,186
Alexandrina,SA,Inner Regional Australia,187
Gympie,Qld,Outer Regional Australia,188
Melton,Vic,Major Cities of Australia,189
Burdekin,Qld,Outer Regional Australia,190
Knox,Vic,Major Cities of Australia,191
Whittlesea,Vic,Inner Regional Australia,192
Monash,Vic,Major Cities of Australia,193
Unincorporated,NSW,Very Remote Australia,194
Barcaldine,Qld,Very Remote Australia,195
Wyndham,Vic,Major Cities of Australia,196
Glen Innes Severn,NSW,Outer Regional Australia,197
Northern Beaches,NSW,Major Cities of Australia,198
Livingstone,Qld,Outer Regional Australia,199
Yarra Ranges,Vic,Major Cities of Australia,200
Cook,Qld,Very Remote Australia,201
Georges River,NSW,Major Cities of Australia,202
Maitland,NSW,Major Cities of Australia,203
Greater Hume,NSW,Inner Regional Australia,204
Kingston (Vic.),Vic,Major Cities of Australia,205
