feature,feature_value,target,support,confidence,lift
crash_type,Single,Pedestrian,0.13409594650437656,0.8724184284492239,1.5647804155306173
speed_limit_category,Medium (51-80),Pedestrian,0.10139374131259626,0.6596602712941464,1.5601507562486792
articulated_truck_involvement,Yes,Driver,0.06209850107066381,0.626848691695108,1.3885400120023368
gender,Male,Motorcycle rider,0.1284796573875803,0.9635159881673475,1.3398371210148425
speed_limit_category,High (>80),Driver,0.2717419888049889,0.6019389198635267,1.2498449382096113
fatalities_category,Normal,Pedestrian,0.1491979413201097,0.9706709030917756,1.1749216183252609
fatalities_category,Normal,Motorcycle rider,0.12874262744656073,0.9654880969150584,1.1686482346261937
time_of_day,Day,Motorcycle rider,0.08730605958150194,0.6547401042400338,1.1477840452280588
heavy_rigid_truck_involvement,No,Motorcycle rider,0.09583380292272436,0.7186927736300887,1.147726726535641
day_of_week,Weekday,Pedestrian,0.09810661557534092,0.6382744714652328,1.0851522102531155
articulated_truck_involvement,No,Motorcycle rider,0.12817912017731695,0.961262149598535,1.0683410780411424
national_remoteness_areas,Unknown,Passenger,0.19097261354671474,0.84122124772464,1.060374968305064
national_road_type,Undetermined,Passenger,0.1917803072992975,0.844779083236803,1.0567529508061966
articulated_truck_involvement,No,Pedestrian,0.14500920395206432,0.9434192838812172,1.0485106224222003
gender,Male,Driver,0.34026447274503174,0.7537238911541981,1.0481063737042497
day_of_week,Weekday,Driver,0.274935196664037,0.6090122326703836,1.0354024794949825
national_remoteness_areas,Unknown,Pedestrian,0.12607535970547354,0.8202370768666748,1.0339240321588263
fatalities_category,Normal,Driver,0.3844246590781021,0.8515436465007905,1.0307273413002542
national_road_type,Undetermined,Pedestrian,0.12662008339907585,0.823781009409752,1.030485993067421
heavy_rigid_truck_involvement,No,Driver,0.28894774409256546,0.6400515935757677,1.0221395668112525
bus_involvement,No,Driver,0.44595965287952216,0.9878505450611633,1.0078801709077465
articulated_truck_involvement,No,Passenger,0.20568015327397723,0.9060069501903029,1.0069307756300643
christmas_period,No,Pedestrian,0.1497990157406364,0.9745814493462056,1.0062402730697069
bus_involvement,No,Motorcycle rider,0.13148502949021376,0.9860543738554727,1.0060475805925193
dwelling_category,Unknown,Passenger,0.22378752019234383,0.9857686579513487,1.0059488558944585
dwelling_category,Unknown,Pedestrian,0.15137683609451896,0.9848466332640842,1.005007955946201
christmas_period,No,Driver,0.4378639317780533,0.9699176167096613,1.00142493800572
christmas_period,No,Motorcycle rider,0.12928735114016304,0.9695731793210312,1.0010693117292062
easter_period,No,Driver,0.44904015928472146,0.9946742115336606,1.0008593183320234
easter_period,No,Pedestrian,0.1528231714189113,0.994256385188806,1.0004388938494708
