LocationID,National LGA Name 2021,State,National Remoteness Areas,SA4 Name 2021
292,Bundaberg,Qld,Outer Regional Australia,Wide Bay
293,Mid Murray,SA,Inner Regional Australia,South Australia - South East
294,Murray Bridge,SA,Inner Regional Australia,South Australia - South East
295,Murray River,NSW,Outer Regional Australia,Murray
296,Camden,NSW,Major Cities of Australia,Sydney - Outer South West
297,Glenorchy,Tas,Inner Regional Australia,Hobart
298,Hornsby,NSW,Major Cities of Australia,Sydney - North Sydney and Hornsby
299,Randwick,NSW,Major Cities of Australia,Sydney - Eastern Suburbs
300,Strathfield,NSW,Major Cities of Australia,Sydney - Inner West
301,Hunters Hill,NSW,Major Cities of Australia,Sydney - Ryde
302,Wangaratta,Vic,Inner Regional Australia,Hume
303,Parkes,NSW,Outer Regional Australia,Central West
304,Dubbo Regional,NSW,Outer Regional Australia,Far West and Orana
305,Byron,NSW,Inner Regional Australia,Richmond - Tweed
306,Cabonne,NSW,Outer Regional Australia,Far West and Orana
307,Unincorporated ACT,ACT,Inner Regional Australia,Australian Capital Territory
308,Moorabool,Vic,Inner Regional Australia,Ballarat
309,Isaac,Qld,Outer Regional Australia,Mackay - Isaac - Whitsunday
310,Benalla,Vic,Inner Regional Australia,Hume
311,Bellingen,NSW,Inner Regional Australia,Coffs Harbour - Grafton
312,Wellington,Vic,Inner Regional Australia,Latrobe - Gippsland
313,Central Coast,NSW,Inner Regional Australia,Central Coast
314,Edward River,NSW,Outer Regional Australia,Murray
315,Coorong,SA,Outer Regional Australia,South Australia - South East
316,George Town,Tas,Outer Regional Australia,Launceston and North East
317,Ryde,NSW,Major Cities of Australia,Sydney - Ryde
318,Bass Coast,Vic,Inner Regional Australia,Latrobe - Gippsland
319,Richmond,Qld,Very Remote Australia,Queensland - Outback
320,Strathbogie,Vic,Inner Regional Australia,Hume
321,Hay,NSW,Remote Australia,Murray
322,Weddin,NSW,Outer Regional Australia,Central West
323,Moorabool,Vic,Inner Regional Australia,Melbourne - West
324,Moira,Vic,Outer Regional Australia,Shepparton
325,Lachlan,NSW,Outer Regional Australia,Central West
